User Language,"Please answer 13 questions about one of your classes this fall. 
1.  What college are you attending?","2.  What class you are taking?  
     (Please choose one. If you like, you can do the survey again for another class.)",3.  Is this class on campus (in person) or online?,4.  Instruction is at the right level for me in this class.,5.  The pace of this class is okay for me.,6.  How does the teacher of this class help you learn?       Choose the answers that are true for you.,7.  What other things does the teacher do to help you learn?,8.  The teacher helps me to feel welcome in this class.,9.  The teacher of this class speaks to all students with respect.,"13.  I would recommend this class to a friend,",10.  The books and materials for this class are at the right level for me.,11.  I have access to the books and materials I need for this class.,"12. My teacher has given me information about student support services, such as tutoring, the wellness center, academic advising, and career planning.","13.  I would recommend this class to a friend,","You selected ""no"" when asked if you would recommend this class to a friend.  Please tell us why not.",,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Ella nos ayuda en todo.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,"She always help me with the pronunciation
",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",The teacher is interested to teach.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,no - too difficult,yes,The teacher helps to make the books and materials interesting.," Nos hacer realizar oraciones. Y leer  historias 
",sometimes,always,yes,yes,sometimes,not sure,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Repeat next to her to know how to pronounce it ,sometimes,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Explica varias veces si es necesario ,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","Se asegura de que los alumnos entendimos el tema a travÃ©s de hacer varios ejercicios y explica varias veces si ve que aÃºn tiene alumnos perdidos. Es puntual. Siempre nos pregunta si todo va bien con nuestras vidas, recomienda diferentes programas del Wrigh, es excelente, de verdad que no habÃ­a tenido nunca una profesora tan completa, pienso que adora ser maestra, lo hace con todo gusto, me le quito el sombrero a esta seÃ±ora, excelente maestra.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",me ayuda a conocer programas o pÃ¡ginas de internet que me a estudiar y aprender mas inglÃ©s,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","Other things  does the teacher help me to learn are:
1. How to write a god easy.
2. How to do all my assignmentâ€™s in brightspace.
",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,no - too difficult,no - too fast,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.","Hace amena la clase
Se esfuerza
Repite y explica.",always,always,yes,no - too difficult,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,Intervenciones en clase y charlas ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,Math,online,yes,yes,The teacher helps me understand the materials.,Hace muchas preguntas para estar segura que entendimos el tema ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","Es muy dinamica en su enseÃ±anza, el material  y herramientas me permite adquirir conocimientos asi como desarrollarme.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",he explains it in details far as the parts of language in reading and writing essays..,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Math,online,yes,no - too fast,The teacher helps to make the books and materials interesting.,"mantener la practica constante y seguir avanzando ,cual quier cosa que se nbos dificulta nonla explica muy bien",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Rspocayon is hood en ftenly ,always,always,yes,no - too easy,sometimes,not sure,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),online,yes,yes,The teacher helps me learn how to use Brightspace.,Speaking in class ,sometimes,always,yes,yes,sometimes,not sure,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",My teacher is an excellent teacher and whatever i have a problem with that I am taught on the zoom class she explains it very well to my understanding. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Language Arts,online,no - too easy,yes,The teacher helps me learn how to take tests.,he is very useful in all the courses that i have pass so far. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Bridge,on campus (in person),yes,no - too fast,The teacher helps me understand the materials.,bnnbbbnnnnn,always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,My teacher helps me to learn how to use power point ,always,always,yes,yes,sometimes,not sure,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,no - too difficult,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","Son agradable, y mi segundo maestro maÃ±ana muy bien la tecnologÃ­a los anteriores no mucho ",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Daley College,Bridge,online,no - too difficult,no - too fast,The teacher helps me learn how to use Brightspace.,Read and writing ,sometimes,always,no,no - too difficult,yes,yes,no,"The friends around me all have jobs and don't have much time to study.  Moreover, their English level is not high and it takes a lot of time to learn.  I find this course difficult.",,,,,,,,,,,,
EN,Olive-Harvey College,Language Arts,on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",My teacher makes sure that when she explains something to me that I don't understand that I understand completely what she is explaining to me always. She is an excellent teacher.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Math,online,no - too easy,no - too slow,The teacher helps me learn how to take tests.,my teacher is very useful for me. But she wants me to take her advance math class. ,always,always,yes,no - too easy,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",A pronunciar correctamente ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,help me how to use ZOOM and WORD on a computer.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,no - too slow,The teacher helps me learn how to use Brightspace.,"The Teacher always has internet problems, most of the time we watch YouTube. She didnâ€™t prepare for the class lesson. Never check our home work. Not organized. Spend time with her dogâ€¦",always,always,no,no - too easy,yes,not sure,no,I would not recommend Ms. B as a ESL teacher.,,,,,,,,,,,,
EN,Kennedy-King College,ESL (English as a Second Language),online,yes,yes,The teacher helps to make the books and materials interesting.,The teacher helped me learn how to answer the cuestiÃ³ns in the computer chat.,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",My teacher always gives us quick feedback about all the assignments.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,no - too slow,The teacher helps me understand the materials.,"me hace preguntas,me permite hacer preguntas, algunas veces me hace leer, pero no puede ver como escribo. Es dificil escuchar a la docente cuando hay tantos ruidos en las casas de los estudiantes y estas no cierran su microfono. Esta regla debe estar clara en cada clase.",sometimes,always,yes,yes,no,no,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",tiene paciencia para ayudarnos a aprender,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps to make the books and materials interesting.,Inapirarme a que siga adelante apesar de lo cansado que este del trabajo.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",The teacher always cheer up.,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Que conversemos  sobre el tema en inglÃ©s ,sometimes,always,yes,yes,sometimes,no,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",Nos ayuda a practicar y a pronunciar correctamente,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Math,online,yes,yes,The teacher helps me learn how to use Brightspace.,"Me ayuda a preparar las matemÃ¡ticas, me va enseÃ±ando paso a paso hasta que entendamos. ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Cualquier duda que tenemos ella nos ayuda a comprender ella es una maestra muy buena ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Answers any doubts we have ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Language Arts,online,no - too easy,no - too slow,The teacher helps to make the books and materials interesting.,"None only seen her face once on zoom also we havenâ€™t learned nothing really , just tells us to read ",always,always,no,no - too easy,yes,not sure,no,Havenâ€™t learned as my first was teaching me was better name Maria ,,,,,,,,,,,,
ES,Daley College,Math,on campus (in person),yes,yes,The teacher helps me understand the materials.,Siempre nos motiva a estudiar,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),online,yes,yes,The teacher helps me learn how to use Brightspace.,He taught me how to use the computer too. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Math,online,yes,no - too slow,The teacher helps me learn how to use Zoom.,Este semestre no aprendi nada con la maestra que me pusieron.,never,always,no,no - too easy,no,no,no,"La maestra no enseÃ±a nada solo pone videos por una hora y se acaba la clase y no toma el tiempo en explicar nada de lo que nos enseÃ±a en sus videos. Nunca la conosi nunca prendio su camara. Quiero seguir tomando la clase de matematicas pero con otro maestro porque con ella no estoy avansando en nada.

",,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.",He help us a lot with exercises(write and speak). If we don't understand something.. he tried to explain us very clear. He's amazing! ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",She will work with me if I donâ€™t understand something or she makes time.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.",It puts us to write to practice and learn vocabulary,always,always,yes,no - too easy,sometimes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,The teacher helps me learn how to use Zoom.,My professor encourages me to try new ways of learning ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,no - too easy,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",How to use the computer ,always,always,yes,no - too easy,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,He explains in every way to convey the idea .,always,always,yes,no - too easy,sometimes,not sure,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Es muy paciente y dinÃ¡mico ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,Language Arts,online,yes,no - too slow,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",The teacher helped me how to write essays for my Ged,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Computer Skills,online,yes,yes,The teacher helps me understand the materials.,she explain very good everything ,never,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Truman College,Math,online,yes,yes,The teacher helps me understand the materials.,Not sure,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Nos pone ejercicios y nos hace exÃ¡menes para sabes si entendemos lo que nos esta enseÃ±ado.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,El profesor falleciÃ³,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,no - too difficult,yes,"The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",My teacher knows how to encourage the learning of her students,always,always,yes,yes,sometimes,not sure,yes,,,,,,,,,,,,,
ES,Olive-Harvey College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Nos ayuda a pronunciar las cosas ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",The teacher helps me to understand the vocabulary by giving examples and making the student give her an example of what with understand.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Computer Skills,online,yes,no - too fast,The teacher helps me understand the materials.,She just put videos for us to learn.,sometimes,sometimes,no,yes,yes,yes,no,We need someone to teach us step by step in computer. We just watch videos.,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",Helps you feel confident.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",Helps you feel confident.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Guias y participaciones en clase,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",She give us different information to learn and makes the class very interesting.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Language Arts,on campus (in person),yes,yes,"The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",Nos pone videos para entender mejor los temas ,always,always,yes,yes,no,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.","She helped me with good explanation about every topic we did, and now I'm ready for the next level.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","my teacher helps with all the difficulties I have.  super attentive.
Teacher Beth level 1 ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Nos ayuda a saber pronunciar el inglÃ©s. ,sometimes,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",American culture,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","Carisma, disposiciÃ³n de hacernos entender el idioma. Utiliza material didÃ¡ctico donde hace mÃ¡s clases dinÃ¡micas. ",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),on campus (in person),no - too easy,no - too slow,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",My teacher is amazing he takes time to explain every material and helps me to understand.,always,always,yes,no - too easy,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,"She has paper sheet works for us, and makes a lot for practice with reading, speaking, writing, and listening in our class.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Malcolm X College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","Nos enseÃ±a de una manera divertida y con mucha paciencia,  es un excelente maestro.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",A entender mucho mejor ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Citizenship,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",My teacher Margarita is always well prepared for our lesson! Also her lesson are very interesting. She makes new informstions more clear and easy to understand. I am thankful for her great job!,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Se da atender cuando estÃ¡ explicando la clase de inglÃ©s,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",My ESL teacher Hillary L. Is the best. Always good prepared for our lesson. She has interesting exercises. She is patient and full of respect. Her explaing is clear and makes new hard informations more easier to understand. I feel good be in her class. Thank you!,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","Manualidades, tareas de clase y extra clase. Explica a travÃ©s de juegos o materiales que nos ayudan a recordar de mejor manera los temas que estamos aprendiendo. Una excelente teacher ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","El profesor nos hace juegos de hacer preguntas con  las respuestas correntas del pasado,presente y futuro.",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Daley College,Bridge,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to take tests.",Tiene consideraciÃ³n con algunas compaÃ±eras que le cuesta un poco de trabajo la tecnologÃ­a.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Bridge,online,yes,yes,The teacher helps me understand the materials.,math ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Homework ,always,sometimes,yes,yes,no,no,yes,,,,,,,,,,,,,
EN,Wright College,Bridge,online,yes,yes,The teacher helps me learn how to take tests.,They are very clear on the classes.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,Ok,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,no - too slow,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to take tests.",The Teacher helps me to communicate better in English.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Whatever I need,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Ya ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,no - too slow,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to take tests.",The teacher helps me to communicate better in English.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.","She helps me to understand everything in class. 
She is too polite  for everyone 
Generally I really  appreciate my teacher. ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Language Arts,on campus (in person),yes,yes,The teacher helps me understand the materials.,N/a,always,always,yes,no - too easy,yes,not sure,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,"my computer skills have been improved in this course. thank you, a lot,.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps to make the books and materials interesting.,Me ayuda a comprender las tareas asignadas ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,no - too difficult,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Best things ,always,always,yes,yes,no,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",Leave a recording of the lesson on Brightspace so that we can review it anytime. ,sometimes,always,yes,yes,no,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",Mrs.Alice is an espectacular teacher. She helps a lot to practice RTW test. Thanks Mrs. Alice. I which continue in you clase.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",She helps a lot.She is a very good teacher and perfect.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Olive-Harvey College,Math,online,yes,yes,The teacher helps me learn how to use Zoom.,Su constancia y perseverancia para ayudar a sus alumnos ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,"Tiene mucha dedicaciÃ³n,  y es muy paciente  nos enseÃ±a a comprender la clase es un excelente  profesor.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Math,online,yes,yes,The teacher helps me understand the materials.,nothing,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",the teacher explains in detail everything ,always,always,yes,yes,no,no,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,yes,The teacher helps me learn how to use Brightspace.,to better understand the subjects that gave me some problem,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",la maestra nos motiva a seguir estudiando a no darnos por vencidos que logremos nuestras metas en los estudios ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,yes,The teacher helps me understand the materials.,He explain the problem in different ways until we understand ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,Math,online,yes,yes,The teacher helps me understand the materials.,Work out the problems in math ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Bridge,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",Both my teachers make sure we come to class. They help us understand the homework if you donâ€™t understand it. I am very grateful for both teachers.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
